date,000001.SZ,000725.SZ,000768.SZ,000858.SZ,002008.SZ,002304.SZ,002594.SZ,600016.SH,600036.SH,600104.SH,600111.SH,600660.SH,601601.SH,601628.SH,601788.SH
2021-01-04,0,100,0,0,0,0,100,100,100,100,100,100,100,0,0
2021-01-05,0,100,0,0,0,0,100,100,100,100,100,100,100,0,0
2021-01-06,0,100,0,0,0,0,100,100,100,100,100,100,100,0,0
2021-01-07,0,100,0,0,0,0,100,100,100,100,100,100,100,0,0
2021-01-08,0,100,0,0,0,0,100,100,100,100,100,100,100,0,0
2021-01-11,0,100,0,0,0,0,100,100,100,100,100,100,100,0,0
2021-01-12,0,100,0,0,0,0,100,100,100,100,100,100,100,0,0
2021-01-13,0,100,0,0,0,0,100,100,100,100,100,100,100,0,0
2021-01-14,0,100,0,0,0,0,100,100,100,100,100,100,100,0,0
2021-01-15,0,100,0,0,0,0,100,100,100,100,100,100,100,0,0
2021-01-18,0,100,0,0,0,0,100,100,100,100,100,100,100,0,0
2021-01-19,0,100,0,0,0,0,100,100,100,100,100,100,100,0,0
2021-01-20,0,100,0,0,0,0,100,100,100,100,100,100,100,0,0
2021-01-21,0,100,0,0,0,0,100,100,100,100,100,100,100,0,0
2021-01-22,0,100,0,0,0,0,100,100,100,100,100,100,100,0,0
2021-01-25,0,100,0,0,0,0,100,100,100,100,100,100,100,0,0
2021-01-26,0,100,0,0,0,0,100,100,100,100,100,100,100,0,0
2021-01-27,0,100,0,0,0,0,100,100,100,100,100,100,100,0,0
2021-01-28,0,100,0,0,0,0,100,100,100,100,100,100,100,0,0
2021-01-29,0,100,0,0,0,0,100,100,100,100,100,100,100,0,0
2021-02-01,0,100,0,0,0,0,100,100,100,100,100,100,100,0,0
2021-02-02,0,100,0,0,0,0,100,100,100,100,100,100,100,0,0
2021-02-03,0,100,0,0,0,0,100,100,100,100,100,100,100,0,0
2021-02-04,0,0,0,0,0,0,0,0,0,0,1,0,7,100,0
2021-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-06,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2021-04-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
